Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Loadcase,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-214.6,-19.2,-77.3,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",7.6,-27.3,-2.1,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-30.4,-31.3,-2.1,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-24.1,-34.4,-2.8,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-62.0,-38.4,-2.8,0.0,0.0,0.0
A11,180.0000,Span 1 Lh Column (UKB 762x267x134),-90.0000,1 Self weight - excluding slabs,49.5,12.0,0.0,0.0,0.0,0.0
,,,,3 Dead,24.6,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.6,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,59.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.9,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-242.0,0.0,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-242.0,0.0,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-300.9,-3.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-300.9,-3.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",7.2,32.7,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-14.6,12.1,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-51.8,29.8,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-73.7,9.2,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",135.2,12.2,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",135.2,12.2,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",96.6,10.2,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",96.6,10.2,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",-4.1,-38.3,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-41.1,-42.2,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-43.1,-40.3,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-80.2,-44.2,0.0,0.0,0.0,0.0
A12,180.0000,Span 1 Lh Column (UKB 762x267x134),-90.0000,1 Self weight - excluding slabs,43.9,10.5,0.0,0.0,0.0,0.0
,,,,3 Dead,24.6,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.6,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,59.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.8,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-15.0,12.2,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-15.0,12.2,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-67.2,9.5,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-67.2,9.5,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",14.1,34.7,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-7.1,14.9,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-38.2,32.0,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-59.4,12.2,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-10.7,7.7,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-10.7,7.7,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-44.9,5.9,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-44.9,5.9,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",5.8,-36.5,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-27.9,-40.6,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-28.8,-38.3,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-62.5,-42.4,0.0,0.0,0.0,0.0
