Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,22 (Final) Cb5.1-D+1.4W,37.7,17.5,-1.6,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,37.7,17.5,-1.6,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,36.5,33.3,-5.6,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,36.5,33.3,-5.6,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,37.7,-38.5,-6.7,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,37.7,-38.5,-6.7,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,36.6,-22.7,-10.8,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,36.6,-22.7,-10.8,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,37.3,19.6,9.3,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,37.4,19.6,9.3,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,36.2,35.4,5.2,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,36.2,35.4,5.2,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,37.7,5.9,-4.0,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,37.7,5.9,-4.0,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,36.6,21.7,-8.1,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,36.6,21.7,-8.1,0.0,0.0,0.0
SUP 3/B,0.0000,SC 3/B (UC 254x254x89),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,190.1,-0.9,-0.1,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,190.2,-0.9,-0.1,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,190.0,-0.8,-0.1,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,190.4,-1.0,-0.1,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,189.8,-0.7,0.0,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,150.6,-10.2,-5.6,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,149.2,-10.3,-6.0,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,148.0,-15.5,-2.8,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,146.6,-15.6,-3.3,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,146.0,-2.7,1.0,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,144.0,-2.7,1.6,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,143.4,-8.0,3.7,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,141.4,-8.0,4.4,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,149.4,-6.8,-0.1,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,148.0,-6.8,0.2,0.0,0.0,0.0
