Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,98.7,16.2,0.0,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,98.7,16.2,0.0,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,98.9,16.4,0.0,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,98.9,16.4,0.0,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,98.9,16.4,0.0,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,98.9,16.4,0.0,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,46.3,7.9,0.0,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,46.3,7.9,0.0,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,46.3,7.9,0.0,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,46.3,7.9,0.0,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,46.2,7.7,0.0,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,46.2,7.7,0.0,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,46.2,7.7,0.0,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,46.2,7.7,0.0,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,46.0,7.4,0.0,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,46.0,7.4,0.0,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,46.0,7.4,0.0,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,46.0,7.4,0.0,0.0,0.0,0.0
